 Sabonete cheiro: Flores, cor: Rosa
 Sabonete cheiro: Amaderado , cor:  Marrom
 Sabonete cheiro: Frutas Citricas , cor:  Vermelho
 Sabonete cheiro: Flores, cor: Rosa
 Sabonete cheiro: Amaderado , cor:  Marrom
 Sabonete cheiro: Frutas Citricas , cor:  Vermelho
 Sabonete cheiro: Flores, cor: Rosa
 Sabonete cheiro: Amaderado , cor:  Marrom
 Sabonete cheiro: Frutas Citricas , cor:  Vermelho
 Sabonete cheiro: Flores, cor: Rosa
 Sabonete cheiro: Amaderado , cor:  Marrom
 Sabonete cheiro: Frutas Citricas , cor:  Vermelho
